employee_id,full_name,department,employment_type,status,sick_days_this_week,overtime_hours,week_ending
E1001,Aisha Khan,Waste Services,Permanent,Active,0,4.5,2026-06-15
E1002,Tom Bradley,Waste Services,Permanent,Active,2,0,2026-06-15
E1003,Grace O'Neill,Waste Services,Permanent,Active,0,6.0,2026-06-15
E1004,Marek Nowak,Waste Services,Permanent,Active,0,0,2026-06-15
E1005,Priya Patel,Waste Services,Permanent,Active,1,3.5,2026-06-15
E1006,Daniel Reed,Waste Services,Permanent,Active,0,0,2026-06-15
E1007,Sophie Turner,Waste Services,Permanent,Active,0,8.0,2026-06-15
E1008,Liam Walsh,Waste Services,Permanent,Active,0,2.0,2026-06-15
C2001,John Carter,Waste Services,Contractor,Active,0,5.0,2026-06-15
C2002,Mary Lewis,Waste Services,Contractor,Active,0,0,2026-06-15
E1009,Hannah Green,Waste Services,Permanent,Leaver,0,0,2026-06-15
